,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1292,Unlabeled 1292,Unlabeled 1292,Unlabeled 1293,Unlabeled 1293,Unlabeled 1293,Unlabeled 1294,Unlabeled 1294,Unlabeled 1294,Unlabeled 1295,Unlabeled 1295,Unlabeled 1295,Unlabeled 1296,Unlabeled 1296,Unlabeled 1296,Unlabeled 1297,Unlabeled 1297,Unlabeled 1297,Unlabeled 1298,Unlabeled 1298,Unlabeled 1298,Unlabeled 1299,Unlabeled 1299,Unlabeled 1299,Unlabeled 1300,Unlabeled 1300,Unlabeled 1300,Unlabeled 1301,Unlabeled 1301,Unlabeled 1301,Unlabeled 1302,Unlabeled 1302,Unlabeled 1302,Unlabeled 1303,Unlabeled 1303,Unlabeled 1303
,ID,"1945C8F4C26B4E011F0","1945C8F4C26B4E011F0","1945C8F4C26B4E011F0","1995C8F4C26B4E011F0","1995C8F4C26B4E011F0","1995C8F4C26B4E011F0","19D5C8F4C26B4E011F0","19D5C8F4C26B4E011F0","19D5C8F4C26B4E011F0","19E5C8F4C26B4E011F0","19E5C8F4C26B4E011F0","19E5C8F4C26B4E011F0","1A35C8F4C26B4E011F0","1A35C8F4C26B4E011F0","1A35C8F4C26B4E011F0","1A45C8F4C26B4E011F0","1A45C8F4C26B4E011F0","1A45C8F4C26B4E011F0","1A65C8F4C26B4E011F0","1A65C8F4C26B4E011F0","1A65C8F4C26B4E011F0","1A75C8F4C26B4E011F0","1A75C8F4C26B4E011F0","1A75C8F4C26B4E011F0","1A95C8F4C26B4E011F0","1A95C8F4C26B4E011F0","1A95C8F4C26B4E011F0","1AA5C8F4C26B4E011F0","1AA5C8F4C26B4E011F0","1AA5C8F4C26B4E011F0","1AB5C8F4C26B4E011F0","1AB5C8F4C26B4E011F0","1AB5C8F4C26B4E011F0","1AC5C8F4C26B4E011F0","1AC5C8F4C26B4E011F0","1AC5C8F4C26B4E011F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,0.183333,671.656067,232.796677,-1081.849365,664.540283,235.485870,-981.564026,725.138611,234.919159,-936.657654,823.974365,231.830505,-975.397583,-1060.519287,208.144165,-1361.709106,-1005.547668,215.878143,-1377.293213,-975.698242,208.533249,-1427.240234,-1070.476562,328.376404,-1458.584229,-1067.844971,196.517380,377.150391,-1079.370483,224.603668,377.954559,-1196.324097,242.314682,305.377625,-1172.087036,240.917847,482.193817
23,0.191667,671.636047,232.782852,-1081.853882,664.508728,235.492844,-981.566711,725.098755,234.924515,-936.665039,823.951050,231.821442,-975.389343,-1060.566772,208.129562,-1361.709473,-1005.569214,215.855957,-1377.301514,-975.730469,208.509476,-1427.242432,-1070.518555,328.363129,-1458.596313,-1067.856201,196.509964,377.150757,-1079.390259,224.590942,377.957886,-1196.311523,242.323700,305.340942,-1172.100098,240.943878,482.198120
24,0.200000,671.650940,232.772629,-1081.849609,664.492126,235.497910,-981.562378,725.097229,234.928558,-936.656799,823.943542,231.826111,-975.383911,-1060.564331,208.127640,-1361.696655,-1005.587830,215.854721,-1377.293457,-975.761475,208.488083,-1427.239990,-1070.538818,328.380585,-1458.582275,-1067.875854,196.505600,377.162506,-1079.435913,224.561798,377.989624,-1196.294067,242.322159,305.323242,-1172.086914,240.950592,482.185394
25,0.208333,671.654175,232.796387,-1081.848511,664.518738,235.511383,-981.556763,725.112732,234.932159,-936.664246,823.964478,231.847687,-975.364197,-1060.534790,208.148224,-1361.684204,-1005.569214,215.877090,-1377.271240,-975.745911,208.509262,-1427.223145,-1070.498291,328.404480,-1458.567139,-1067.860229,196.508331,377.183472,-1079.425537,224.559265,378.006287,-1196.312500,242.322540,305.328491,-1172.065674,240.974335,482.192627
26,0.216667,671.661560,232.803345,-1081.845093,664.535645,235.513412,-981.555969,725.124023,234.937469,-936.657227,823.979675,231.853470,-975.367004,-1060.509033,208.161804,-1361.690552,-1005.541687,215.880417,-1377.278564,-975.699890,208.526398,-1427.219971,-1070.450684,328.407562,-1458.561035,-1067.840454,196.521225,377.161133,-1079.406738,224.577957,377.975555,-1196.307495,242.323013,305.334961,-1172.053833,240.953796,482.187775
27,0.225000,671.670959,232.788040,-1081.840332,664.543213,235.499832,-981.565002,725.136292,234.935211,-936.650696,823.982727,231.847610,-975.372131,-1060.535400,208.149612,-1361.704468,-1005.536926,215.869507,-1377.290527,-975.696228,208.540924,-1427.221191,-1070.461914,328.379517,-1458.585083,-1067.879272,196.527267,377.106903,-1079.385010,224.586380,377.946381,-1196.303223,242.324692,305.364502,-1172.064087,240.937531,482.184723
28,0.233333,671.632141,232.788467,-1081.842163,664.518372,235.500015,-981.567810,725.115295,234.926056,-936.667236,823.963440,231.822708,-975.395142,-1060.549438,208.121780,-1361.712036,-1005.564087,215.863525,-1377.302856,-975.727600,208.508835,-1427.247314,-1070.521729,328.368225,-1458.588379,-1067.863281,196.505478,377.145538,-1079.386353,224.589584,377.951752,-1196.317749,242.322235,305.354370,-1172.095459,240.931076,482.178864
29,0.241667,671.647156,232.776169,-1081.855469,664.494690,235.497925,-981.559875,725.095093,234.933075,-936.658936,823.944153,231.823944,-975.385742,-1060.575562,208.126343,-1361.700317,-1005.594360,215.851578,-1377.306396,-975.758301,208.506943,-1427.240845,-1070.547852,328.365479,-1458.594727,-1067.933105,196.545990,377.073608,-1079.417358,224.572296,377.976624,-1196.328369,242.318588,305.334900,-1172.104980,240.957932,482.182922
30,0.250000,671.666321,232.775406,-1081.847290,664.496094,235.496674,-981.562378,725.102112,234.936905,-936.670288,823.943909,231.840820,-975.358887,-1060.547241,208.156097,-1361.680664,-1005.593445,215.866074,-1377.280273,-975.749573,208.511673,-1427.222900,-1070.514771,328.383423,-1458.568359,-1067.862183,196.517807,377.166107,-1079.429443,224.567520,378.005859,-1196.322266,242.320023,305.329529,-1172.080688,240.956573,482.180786
31,0.258333,671.681396,232.783981,-1081.846802,664.525513,235.498718,-981.563599,725.137695,234.931488,-936.649719,823.969910,231.848648,-975.372375,-1060.502563,208.164520,-1361.697266,-1005.551941,215.885040,-1377.271851,-975.721619,208.526215,-1427.218018,-1070.472412,328.403137,-1458.552979,-1067.842285,196.511017,377.180023,-1079.418091,224.575165,378.004150,-1196.317993,242.310364,305.345398,-1172.061523,240.952515,482.178741
